#--Begin DR Constraints:
DR L0 L1
DR L1 L0
DR L1 L2
DR L10CN L10CS
DR L10CN L10N
DR L10CN L7
DR L10CN L8
DR L10CS L10CN
DR L10CS L10S
DR L10N L10CN
DR L10S L10CS
DR L2 L1
DR L2 L4CN
DR L3 L4N
DR L4CN L2
DR L4CN L4CS
DR L4CN L4N
DR L4CN L7
DR L4CS L4CN
DR L4CS L4S
DR L4CS L6
DR L4N L3
DR L4N L4CN
DR L4S L4CS
DR L4S L5
DR L5 L4S
DR L6 L4CS
DR L7 L10CN
DR L7 L4CN
DR L8 L10CN
DR L8 L9
DR L9 L8
#--End DR Constraints.
#--Begin LT Constraints:
LT L0 4
LT L1 4
LT L10CN 2
LT L10CS 2
LT L10N 4
LT L10S 4
LT L2 4
LT L3 4
LT L4CN 2
LT L4CS 2
LT L4N 2
LT L4S 2
LT L5 4
LT L6 4
LT L7 2
LT L8 4
LT L9 4
#--End LT Constraints.
